City,Country,Year,Population,Walk,Bike,PT,Car
Bari,Italy,2013.0,322751.0,3.0,1.0,20.0,76.0
Pamplona,Spain,2006.0,321e3,43.0,1.0,15.0,41.0
Bonn,Germany,2008.0,317949.0,28.0,12.0,14.0,46.0
Aix,France,2009.0,317e3,26.0,1.0,7.0,66.0
Utrecht,Netherlands,2012.0,316e3,17.0,26.0,16.0,41.0
Malmö,Sweden,2013.0,313e3,15.0,22.0,21.0,42.0
Kaunas,Lithuania,2011.0,307e3,15.0,2.0,60.0,23.0
Nottingham,United Kingdom,2011.0,303900.0,17.0,4.0,25.0,54.0
Karlsruhe,Germany,2012.0,298e3,24.0,25.0,17.0,34.0
Leicester,United Kingdom,2011.0,294700.0,28.0,2.0,35.0,35.0
Münster,Germany,2007.0,28e4,16.0,38.0,10.0,36.0
Newcastle,United Kingdom,2010.0,273600.0,30.0,1.0,39.0,30.0
Bergen,Norway,2014.0,271949.0,26.0,3.0,16.0,55.0
Le Havre,France,2007.0,267e3,34.0,1.0,8.0,57.0
Verona,Italy,2008.0,265368.0,18.0,9.0,8.0,65.0
Augsburg,Germany,2010.0,265e3,24.0,13.0,16.0,47.0
Espoo,Finland,2012.0,260800.0,22.0,8.0,20.0,50.0
Nancy,France,2013.0,258e3,36.0,1.0,12.0,51.0
Graz,Austria,2013.0,257328.0,19.0,14.0,20.0,47.0
Plymouth,United Kingdom,2010.0,256700.0,18.0,3.0,12.0,67.0
Pointe-à-Pitre,France,2006.0,252869.0,22.0,1.0,10.0,67.0
Ghent,Belgium,2012.0,251e3,24.0,20.0,9.0,47.0
Parkstad Limburg,Netherlands,2013.0,249873.0,30.0,10.0,10.0,50.0
Chemnitz,Germany,2008.0,249500.0,26.0,6.0,14.0,54.0
Aachen,Germany,2012.0,249e3,22.0,12.0,15.0,51.0
Lezíria do Tejo - Intermunicipal Community,Portugal,2011.0,247453.0,16.0,1.0,15.0,68.0
Médio Tejo - Intermunicipal Community,Portugal,2011.0,247331.0,16.0,1.0,13.0,71.0
A Coruña,Spain,2013.0,246146.0,48.0,2.0,13.0,37.0
Messina,Italy,2006.0,245159.0,18.0,1.0,8.0,73.0
Stoke-on-Trent,United Kingdom,2011.0,24e4,11.0,1.0,16.0,72.0
Vitoria-Gasteiz,Spain,2014.0,24e4,54.0,13.0,8.0,25.0
Halle (Saale),Germany,2008.0,238837.0,29.0,14.0,18.0,39.0
Porto,Portugal,2011.0,237584.0,22.0,0.0,26.0,52.0
Magdeburg,Germany,2008.0,234977.0,21.0,10.0,21.0,48.0
Southampton,United Kingdom,2010.0,234100.0,14.0,3.0,24.0,59.0
Halle,Germany,2010.0,233e3,26.0,12.0,18.0,44.0
Ploiesti,Romania,2007.0,23e4,37.0,1.0,40.0,22.0
Reims,France,2006.0,228e3,30.0,1.0,9.0,60.0
Eindhoven,Netherlands,2014.0,220782.0,13.0,40.0,5.0,42.0
Tampere,Finland,2012.0,220600.0,27.0,10.0,17.0,46.0
Aberdeen,United Kingdom,2008.0,211e3,30.0,2.0,18.0,51.0
Vantaa,Finland,2012.0,208100.0,25.0,9.0,18.0,48.0
Beaujolais,France,2006.0,207e3,21.0,1.0,4.0,74.0
Padua,Italy,2011.0,205631.0,5.0,16.0,22.0,57.0
Douro - Intermunicipal Community,Portugal,2011.0,205157.0,19.0,0.0,15.0,66.0
Debrecen,Hungary,2006.0,205e3,20.0,9.0,32.0,39.0
Bouches-du-Rhône,France,2009.0,203e3,31.0,1.0,9.0,59.0
Charleroi,Belgium,2008.0,202598.0,3.0,1.0,12.0,84.0
Tilburg,Netherlands,2008.0,202091.0,14.0,23.0,6.0,57.0
Trieste,Italy,2012.0,201814.0,19.0,1.0,20.0,60.0
Mainz,Germany,2008.0,201500.0,28.0,10.0,21.0,41.0
Erfurt,Germany,2008.0,201368.0,29.0,8.0,24.0,39.0
Cork,Ireland,2011.0,198582.0,15.0,2.0,7.0,76.0
Kassel,Germany,2008.0,198167.0,29.0,7.0,22.0,42.0
York,United Kingdom,2011.0,197800.0,20.0,12.0,11.0,57.0
Milton Keynes,United Kingdom,2009.0,195687.0,10.0,4.0,11.0,75.0
Liege,Belgium,2008.0,192504.0,6.0,2.0,16.0,76.0
Burgas,Bulgaria,2011.0,190830.0,22.0,8.0,34.0,36.0
Linz,Austria,2008.0,19e4,22.0,5.0,24.0,49.0
Parma,Italy,2010.0,187214.0,6.0,6.0,13.0,75.0
Odense,Denmark,2008.0,187e3,19.0,27.0,26.0,28.0
Donostia-San Sebastián,Spain,2011.0,186185.0,49.0,4.0,19.0,28.0
Swindon,United Kingdom,2010.0,184e3,6.0,7.0,2.0,85.0
Klaipeda,Lithuania,2007.0,183433.0,4.0,1.0,63.0,32.0
Almere,Netherlands,2008.0,183270.0,16.0,19.0,13.0,52.0
Groningen,Netherlands,2008.0,182484.0,15.0,31.0,10.0,44.0
Hamm,Germany,2008.0,182459.0,11.0,17.0,11.0,61.0
Trondheim,Norway,2014.0,181513.0,28.0,9.0,10.0,53.0
Ulm/Neu-Ulm,Germany,2008.0,180205.0,23.0,11.0,16.0,50.0
Breda,Netherlands,2013.0,180053.0,0.0,27.0,5.0,68.0
Metropole Savoie,France,2006.0,18e4,26.0,2.0,5.0,67.0
Burgos,Spain,2010.0,178500.0,45.0,4.0,23.0,28.0
Saarbrücken,Germany,2010.0,175741.0,23.0,4.0,17.0,56.0
Turku,Finland,2008.0,175e3,30.0,13.0,9.0,48.0
Southend-on-Sea,United Kingdom,2011.0,174300.0,15.0,3.0,23.0,59.0
Almada,Portugal,2006.0,174030.0,19.0,1.0,30.0,50.0
Amiens,France,2010.0,174e3,33.0,2.0,7.0,58.0
Brussels,Belgium,2010.0,171459.0,25.0,3.0,28.0,44.0
Basel,Switzerland,2010.0,169464.0,29.0,20.0,28.0,23.0
Szeged,Hungary,2009.0,169e3,22.0,9.0,47.0,22.0
Osnabrück,Germany,2010.0,164405.0,19.0,12.0,16.0,53.0
Peterborough,United Kingdom,2008.0,164e3,25.0,6.0,8.0,61.0
Reggio Emilia,Italy,2012.0,163928.0,10.0,18.0,8.0,64.0
Perugia,Italy,2011.0,162097.0,10.0,0.0,14.0,76.0
Solingen,Germany,2008.0,161779.0,14.0,3.0,22.0,61.0
