city,cycleway,Country,Year,Population,Walk,Bike,PT,Car,country
Potsdam,90.55731121331233,Germany,2008.0,149687.0,23.0,20.0,19.0,38.0,de
Darmstadt,53.2044111027176,Germany,2011.0,143499.0,27.0,15.0,13.0,45.0,de
Heidelberg,38.45781349424597,Germany,2010.0,139200.0,20.0,25.0,18.0,37.0,de
Göttingen,144.93402737638087,Germany,2009.0,123594.0,25.0,27.0,13.0,35.0,de
Heilbronn,13.694417650300183,Germany,2008.0,122302.0,20.0,8.0,12.0,60.0,de
Ulm,16.386333425028898,Germany,2008.0,121648.0,28.0,9.0,11.0,52.0,de
Offenbach am Main,26.044657103197473,Germany,2008.0,120500.0,26.0,9.0,13.0,52.0,de
Reutlingen,56.96721773777013,Germany,2007.0,112258.0,22.0,15.0,10.0,53.0,de
Jena,24.17834636981241,Germany,2008.0,110097.0,39.0,10.0,16.0,35.0,de
Gera,27.795945258376975,Germany,2008.0,105689.0,29.0,4.0,19.0,48.0,de
Kaiserslautern,41.27976460765465,Germany,2008.0,105352.0,29.0,3.0,14.0,54.0,de
Hildesheim,91.78221925279803,Germany,2007.0,103593.0,22.0,12.0,11.0,55.0,de
Witten,21.556202940627664,Germany,2006.0,100248.0,16.0,3.0,13.0,68.0,de
Madrid,297.578636969966,Spain,2012.0,3233527.0,29.0,0.0,42.0,29.0,NA
Valencia,204.99881371228312,Spain,2012.0,786189.0,41.0,4.0,23.0,32.0,NA
Sevilla,175.80076712448255,Spain,2011.0,702355.0,37.0,6.0,22.0,35.0,NA
Málaga,72.4007719996545,Spain,2008.0,561e3,38.0,1.0,12.0,49.0,NA
Tarragona,3.621080566338257,Spain,2006.0,528e3,49.0,1.0,4.0,46.0,NA
Bilbao,26.56070238950017,Spain,2006.0,353e3,60.0,1.0,28.0,11.0,NA
Córdoba,154.97251860076705,Spain,2010.0,33e4,43.0,2.0,10.0,45.0,NA
Pamplona,44.00241565566109,Spain,2006.0,321e3,43.0,1.0,15.0,41.0,NA
A Coruña,16.507403802915768,Spain,2013.0,246146.0,48.0,2.0,13.0,37.0,NA
Vitoria-Gasteiz,124.76128417034015,Spain,2014.0,24e4,54.0,13.0,8.0,25.0,NA
Donostia-San Sebastián,56.8485664668296,Spain,2011.0,186185.0,49.0,4.0,19.0,28.0,NA
Burgos,57.64714480715678,Spain,2010.0,178500.0,45.0,4.0,23.0,28.0,NA
León,20.73922420874637,Spain,2009.0,137064.0,64.0,1.0,6.0,29.0,NA
